"Date","Tickers"
"2012-03-19","DTLK KND AMPE AAPL COMV WINT BAC S FCX MCD EPRS CLDX YHOO NBIX MDLZ JPM MOS EBIX SIRI GE PFE CLSN DELL CSCO RIG EGHT ORCL NFLX HGG PEP UAMY CHK VZ ACAD ARIA ANIP BBY NEPT AZN GSK TEVA HON DIS MARK SBUX TVIA HPQ PLX HD AA IBM SN MNST DOW GS AKAM WDC HAL"
"2012-03-18","AAPL CAT JPM BMY ODFL IIJI AVGO SIRI AIG NVDA ARMH"
"2016-09-08","GPRO FSLR NILE ATHN FLL NVAX FNMA FMCC CIT WFC LNVGY COP DIS KORS CLR AAPL DHT FRAN HPE BBBY BREW DST AMD WLL F ARLZ UA SKX COST CHUBA CHGG IBM TEF NE ESV IVPAF APA PAY PLAY XYL"
"2016-09-09","NMIH GILD NE VMW PHII PHIIK CMG EGO MNKD KR ALKS GE HBI WLDN EPD GSV INTC RIG RH RDSA RDSB XIN GOOG GOOGL SLW SCTY AMD KTOV WFC QCOM OXY HON TSLA DVAX ELOS AAPL MSB TWTR ZMTP TGP DLTH ESV SPLK MS ALB TGI VHC HLIT WLL NVDA"
"2012-02-26","JAZZ BBRY CHK PM INT SLB WFC COP FDX UPS MSFT KYO K GOOG KR TMUS SIRI MEG LPS"
"2016-09-04","O VZ CTLT FCX FNMA FMCC RAVN ULTA GILD SDRL BIDU AA WPZ RDSA RDSB XOM MAT HAS LOW"
"2016-09-05","FIVE HPE BAC SPY QQQ DIA LACDF MA T VZ PEGRF UA FARM SKX TOT HAIN ATUSF THRM SAND GD MYL GOOG BHP NOC EEP KMI EQM INTC ENPH"
"2016-09-06","GILD ARC CMG FB EA SCHW BAC WFC OPST BABA ATHOF DIS SHLX DATA STC CRM WFM PLCE APA UA AAPL BRKA BRKB CRI TGT LULU SNCR ARMK AMD CMN CBI LVS CSTM SBUX MDT GOOG GOOGL MLR AMZN CTAS RACE BBRY PTGEF GSV PGLC ZTS MESO MEOBF PRGX ALR BNS CYBR PANW CALM GTE XOM RIG SCTY TSLA KMI PCLN PSX BOX AG RIO BKS MO EMR VSTO BP GPRO HAL T BOSSY"
"2016-09-07","PXD VNTV TNP TCEHY BABA HVT LB HURC DVN PLAY KR MSFT HWAY TLRD BRKA BRKB HIMX KO VTXPF SBUX CF CVX MS SMI GILD AMD LNDNF LNDNY TAOIF CUO RDC CHK F RIG CBK XOM RDSA RDSB AMBA DIS SNNY GE LULU KLAC NSANY GM FMC DD WSBF CVT AMZN"
"2012-03-15","AVGO ATVI AAPL MIDD SIRI GOOG GM CELG F CNH SYK GUYFF CJES TAS PFE GTXI MUX NOV CNQ MMM STRL FFIV ESV BCE RCI OMER SSRX AGEN GS BDSI CSCO AXP V BRKB GLNG GMLP SOHU TST SHLD MS PEP FSLR"
"2016-09-01","CRM HPJ APA HSY SGMS CPHC PNLYY CXO HIMX INSY IIN DLTH GOOG GOOGL JPM TWTR FIT AAPL VBIV CLNE TGD FLL MNKD GSK FNMA FMCC TXMD DIS TPCA SWKS POT TSLA AMD IFNNY PVH"
"2016-09-02","AMRN AAWW ALV AMZN CEMP BMY SWHC CHK AMBA SFL GOOG GOOGL AAPL PEP SONC PNDZF GILD BZH ULTA NXPI KOF BKE BMRA MATX CMG AERI FOLD C GM SHLX B CHRW IBM VLO RIG ABX DL"
"2016-09-03","GM BHI RIG BYDDY PCOM FL LIND"
"2008-04-28","NPK CKR OMPI DLM PFCB JNJ MNTA ECL SIAL FMC EFUT POT MOS GTY ARE SLG GOOG HFC VSUNQ HMIN GSH LONG FRFHF SCCO"
"2009-02-11","PDS IVV ITB HYG FCX NUE CLF JPM GS SIRF AVNX BKHM TXT DO MLNX MRVL AMZN NFLX JCOM NE AN TRA TNH"
